subject_id,slice_idx,type,n_features,mse,rmse,variance_explained,n_components,tumor_percentage
BraTS20_Training_219,72,original,4,1.4198448643780777e-32,1.1915724335423667e-16,1.0,4,
BraTS20_Training_220,92,original,4,8.982144384287927e-33,9.477417572465575e-17,1.0,4,
BraTS20_Training_221,70,original,4,1.2476832352088588e-32,1.116997419517547e-16,1.0,4,
BraTS20_Training_222,107,original,4,2.4269502646204493e-32,1.557867216620354e-16,1.0,4,
BraTS20_Training_223,90,original,4,3.7335507839375e-33,6.110278867562019e-17,1.0,4,
BraTS20_Training_224,79,original,4,2.545949099583974e-32,1.5956030520101087e-16,0.9999999999999999,4,
BraTS20_Training_225,92,original,4,1.0590733635274135e-31,3.254340737426574e-16,0.9999999999999999,4,
BraTS20_Training_226,59,original,4,4.431544949241549e-33,6.656985015186341e-17,1.0,4,
BraTS20_Training_227,68,original,4,5.317579845153763e-32,2.305987824155575e-16,0.9999999999999999,4,
BraTS20_Training_228,62,original,4,2.5061612662218745e-32,1.5830859945757447e-16,0.9999999999999999,4,
BraTS20_Training_229,101,original,4,1.145978852718652e-32,1.0705040180768366e-16,1.0,4,
BraTS20_Training_230,100,original,4,1.928889013704351e-32,1.3888444886683142e-16,1.0000000000000002,4,
BraTS20_Training_231,90,original,4,9.758360671795191e-33,9.878441512604704e-17,0.9999999999999999,4,
BraTS20_Training_232,62,original,4,1.1166313614920553e-32,1.0567077938068099e-16,1.0,4,
BraTS20_Training_233,88,original,4,6.085758136901883e-33,7.801126929426211e-17,1.0,4,
BraTS20_Training_234,63,original,4,3.958500694485715e-32,1.989598123864645e-16,0.9999999999999999,4,
BraTS20_Training_235,93,original,4,5.052848400260538e-32,2.2478541768229845e-16,0.9999999999999998,4,
BraTS20_Training_236,52,original,4,6.021127037934468e-33,7.759592152899834e-17,0.9999999999999999,4,
BraTS20_Training_237,73,original,4,2.1059335195922694e-32,1.4511834892915056e-16,1.0,4,
BraTS20_Training_238,65,original,4,1.1510797315176831e-32,1.0728838387811064e-16,0.9999999999999999,4,
BraTS20_Training_239,102,original,4,9.113450604288784e-32,3.018849218541526e-16,1.0,4,
BraTS20_Training_240,71,original,4,1.86228719438845e-31,4.315422568403296e-16,1.0,4,
BraTS20_Training_241,92,original,4,5.276350739413002e-32,2.297030852951915e-16,0.9999999999999999,4,
BraTS20_Training_242,48,original,4,2.1952077950063514e-32,1.4816233647612173e-16,1.0,4,
BraTS20_Training_243,62,original,4,4.297036606140287e-33,6.555178568231598e-17,1.0000000000000002,4,
BraTS20_Training_244,71,original,4,1.6440405996892848e-32,1.2822014661079142e-16,1.0000000000000002,4,
BraTS20_Training_245,61,original,4,3.10849889922672e-32,1.7630935594082124e-16,1.0,4,
BraTS20_Training_246,64,original,4,1.9362703199362405e-31,4.400307171023678e-16,0.9999999999999999,4,
BraTS20_Training_247,70,original,4,1.4510800114529986e-32,1.2046078247516902e-16,1.0,4,
BraTS20_Training_248,90,original,4,2.611469430966953e-32,1.61600415561562e-16,1.0,4,
BraTS20_Training_249,51,original,4,3.807164406660413e-32,1.9511956351582004e-16,1.0,4,
BraTS20_Training_250,52,original,4,4.4177494520286856e-32,2.1018442977605847e-16,1.0000000000000002,4,
BraTS20_Training_251,86,original,4,5.56191789716333e-33,7.457826692249781e-17,1.0,4,
BraTS20_Training_252,78,original,4,7.414652603389207e-33,8.610837708021912e-17,1.0,4,
BraTS20_Training_253,60,original,4,2.36440367305061e-32,1.5376617550848463e-16,1.0000000000000002,4,
BraTS20_Training_254,91,original,4,9.526236259475005e-33,9.760243982337227e-17,1.0000000000000002,4,
BraTS20_Training_255,66,original,4,5.8933641242693946e-33,7.676824945424635e-17,1.0,4,
BraTS20_Training_256,78,original,4,4.966788110460346e-32,2.228629199858143e-16,1.0,4,
BraTS20_Training_257,82,original,4,1.7651507955861844e-32,1.3285897770140279e-16,1.0,4,
BraTS20_Training_258,80,original,4,3.6790932796826587e-32,1.91809626444625e-16,1.0,4,
BraTS20_Training_259,96,original,4,3.095151712375899e-32,1.7593043262539595e-16,1.0,4,
BraTS20_Training_260,57,original,4,2.5386888061527032e-33,5.038540270904564e-17,1.0,4,
